Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
0,louer,4,"Casablanca Finance City, Casablanca",68,60,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,10000
0,louer,4,"Hay Moulay Rachid 4, Casablanca",50,50,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
0,louer,4,"Oasis, Casablanca",100,100,2,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,11500
0,louer,4,"Casablanca Finance City, Casablanca",60,60,1,1,1,2,7,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10000
0,louer,4,"Oulfa, Casablanca",50,50,2,1,1,3,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3200
0,louer,4,"Quartier des Hôpitaux, Casablanca",45,45,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
0,louer,4,"Belvédère, Casablanca",80,80,2,2,1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4000
0,louer,4,"Sidi Maarouf, Casablanca",71,69,2,2,1,3,4,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3500
0,louer,4,"Sidi Maarouf, Casablanca",86,86,2,2,1,3,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4500
0,louer,4,"Hay Chrifa, Casablanca",132,102,3,2,2,5,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6500
0,louer,4,"Sbata, Casablanca",90,84,2,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
0,louer,4,"Sidi Maarouf, Casablanca",80,80,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
0,louer,4,"Roches Noires, Casablanca",86,80,1,1,1,2,4,1,1,1,1,1,0,1,1,0,0,1,0,0,0,4500
0,louer,4,"Quartier des Hôpitaux, Casablanca",120,120,3,2,2,5,3,0,0,1,1,1,1,1,1,0,1,1,0,0,0,12000
1,louer,4,"Aïn Diab, Casablanca",450,6000,4,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
1,louer,4,"Autre secteur, Casablanca",233,171,3,3,2,5,2,0,1,0,0,1,1,1,0,0,0,0,1,1,0,11500
1,louer,4,"C.I.L, Casablanca",500,500,4,3,3,7,2,1,1,1,0,1,1,1,0,0,1,0,1,1,0,65000
1,louer,4,"Aïn Diab, Casablanca",550,400,4,3,3,7,3,1,1,1,0,1,1,0,0,0,0,0,1,1,1,30000
1,louer,4,"Val d'Anfa, Casablanca",800,500,5,4,2,7,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,50000
1,louer,4,"Aïn Chock, Casablanca",161,161,4,3,2,6,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,20000
1,louer,4,"Californie, Casablanca",890,500,4,4,3,7,3,1,1,1,0,0,1,1,0,0,1,1,1,1,1,35000
1,louer,4,"Hay Hana, Casablanca",510,510,3,2,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000
1,louer,4,"C.I.L, Casablanca",450,400,4,4,3,7,2,1,1,1,0,1,1,1,0,0,1,0,1,1,0,30000
1,louer,4,"Hay Hana, Casablanca",240,240,5,4,1,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11000
1,louer,4,"Oasis, Casablanca",400,400,4,3,2,6,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,40000
1,louer,4,"Bourgogne, Casablanca",356,356,4,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000
1,louer,4,"C.I.L, Casablanca",400,450,5,5,4,9,2,1,1,1,0,1,1,1,0,0,1,0,1,1,0,36000
1,louer,4,"Longchamps, Casablanca",1500,600,4,4,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
1,louer,4,"Sidi Bernoussi, Casablanca",120,120,2,1,2,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,7500
1,louer,4,"Californie, Casablanca",400,500,4,4,3,7,3,1,1,1,0,1,1,0,0,0,0,0,1,1,1,30000
1,louer,4,"Sidi Maarouf, Casablanca",450,40,4,4,4,8,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,30000
1,louer,4,"Polo, Casablanca",495,480,5,4,2,7,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,30000
1,louer,4,"Californie, Casablanca",850,600,5,4,3,8,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,35000
1,louer,4,"C.I.L, Casablanca",240,140,3,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,20000
1,louer,4,"Californie, Casablanca",800,600,4,4,3,7,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,35000
1,louer,4,"Californie, Casablanca",500,450,4,4,3,7,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,30000
1,louer,4,"C.I.L, Casablanca",274,150,5,2,1,6,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,14000
1,louer,4,"Bourgogne, Casablanca",380,440,4,3,2,6,2,1,0,0,0,1,1,1,0,0,0,0,1,1,1,30000
1,louer,4,"Hermitage, Casablanca",350,160,4,3,4,8,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,25000
1,louer,4,"Laimoune, Casablanca",600,600,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
